4502494581-170,Purchase Requisition Creation,20170308 00:00:00,USER 23,,
4502514751-30,Purchase Requisition Creation,20170412 00:00:00,USER 448,,
4502535711-20,Purchase Requisition Creation,20170524 00:00:00,USER 23,,
4502597836-10,Purchase Requisition Creation,20171007 00:00:00,USER 59,,
4502532189-20,Purchase Requisition Creation,20170518 00:00:00,USER 328,,
4502534312-20,Purchase Requisition Creation,20170518 00:00:00,USER 23,,
4502508545-60,Purchase Requisition Creation,20170331 00:00:00,USER 23,,
4502622099-10,Purchase Requisition Creation,20171120 00:00:00,USER 53,,
4502552560-40,Purchase Requisition Creation,20170628 00:00:00,USER 443,,
4502462065-30,Purchase Requisition Creation,20170105 00:00:00,USER 443,,
4502595339-70,Purchase Requisition Creation,20171003 00:00:00,USER 442,,
4502625796-110,Purchase Requisition Creation,20171129 00:00:00,USER 328,,
4502589912-10,Purchase Requisition Creation,20170912 00:00:00,USER 376,,
4502493899-200,Purchase Requisition Creation,20170307 00:00:00,USER 328,,
4502518455-20,Purchase Requisition Creation,20170419 00:00:00,USER 23,,
4502579405-30,Purchase Requisition Creation,20170901 00:00:00,USER 60,,
4502605673-30,Purchase Requisition Creation,20171024 00:00:00,USER 131,,
4502550821-20,Purchase Requisition Creation,20170623 00:00:00,USER 23,,
4502585650-50,Purchase Requisition Creation,20170830 00:00:00,USER 23,,
4502462285-50,Purchase Requisition Creation,20170109 00:00:00,USER 237,,
4502489180-20,Purchase Requisition Creation,20170226 00:00:00,USER 150,,
4502473548-80,Purchase Requisition Creation,20170128 00:00:00,USER 443,,
4502493300-10,Purchase Requisition Creation,20170303 00:00:00,USER 469,,
4502469193-20,Purchase Requisition Creation,20170117 00:00:00,USER 150,,
4502546141-30,Purchase Requisition Creation,20170614 00:00:00,USER 442,,
4502505457-20,Purchase Requisition Creation,20170324 00:00:00,USER 481,,
4502558854-40,Purchase Requisition Creation,20170712 00:00:00,USER 23,,
4502462805-70,Purchase Requisition Creation,20170109 00:00:00,USER 447,,
4502582025-30,Purchase Requisition Creation,20170907 00:00:00,USER 333,,
4502534191-30,Purchase Requisition Creation,20170520 00:00:00,USER 23,,
4502622758-20,Purchase Requisition Creation,20171128 00:00:00,USER 131,,
4502590723-10,Purchase Requisition Creation,20170922 00:00:00,USER 387,,
4502585924-40,Purchase Requisition Creation,20170914 00:00:00,USER 131,,
4502538036-30,Purchase Requisition Creation,20170530 00:00:00,USER 512,,
4502516638-30,Purchase Requisition Creation,20170419 00:00:00,USER 442,,
4502585688-100,Purchase Requisition Creation,20170913 00:00:00,USER 3,,
4502585650-10,Purchase Requisition Creation,20170907 00:00:00,USER 23,,
4502564502-120,Purchase Requisition Creation,20170721 00:00:00,USER 328,,
4502522215-80,Purchase Requisition Creation,20170429 00:00:00,USER 328,,
4502566509-30,Purchase Requisition Creation,20170322 00:00:00,USER 442,,
4502628641-70,Purchase Requisition Creation,20171209 00:00:00,USER 442,,
4502558859-220,Purchase Requisition Creation,20170711 00:00:00,USER 328,,
4502483943-10,Purchase Requisition Creation,20170215 00:00:00,USER 159,,
4502585655-10,Purchase Requisition Creation,20170913 00:00:00,USER 431,,
4502582156-10,Purchase Requisition Creation,20170907 00:00:00,USER 430,,
4502582352-60,Purchase Requisition Creation,20160908 00:00:00,USER 442,,
4502490416-10,Purchase Requisition Creation,20170220 00:00:00,USER 390,,
4502486199-10,Purchase Requisition Creation,20170221 00:00:00,USER 150,,
4502630606-10,Purchase Requisition Creation,20171214 00:00:00,USER 442,,
4502587985-10,Purchase Requisition Creation,20170919 00:00:00,USER 357,,
4502468229-30,Purchase Requisition Creation,20170119 00:00:00,USER 23,,
4502631500-100,Purchase Requisition Creation,20171215 00:00:00,USER 150,,
4502492216-80,Purchase Requisition Creation,20170301 00:00:00,USER 442,,
4502543444-10,Purchase Requisition Creation,20170603 00:00:00,USER 442,,
4502635862-100,Purchase Requisition Creation,20171228 00:00:00,USER 23,,
4502520130-100,Purchase Requisition Creation,20170425 00:00:00,USER 443,,
4502537836-160,Purchase Requisition Creation,20170530 00:00:00,USER 23,,
4502550662-70,Purchase Requisition Creation,20170622 00:00:00,USER 502,,
4502532341-10,Purchase Requisition Creation,20170518 00:00:00,USER 150,,
4502529327-50,Purchase Requisition Creation,20170511 00:00:00,USER 442,,
4502598111-110,Purchase Requisition Creation,20171010 00:00:00,USER 442,,
4502630427-20,Purchase Requisition Creation,20171213 00:00:00,USER 256,,
4502509233-160,Purchase Requisition Creation,20170401 00:00:00,USER 23,,
4502619989-50,Purchase Requisition Creation,20171122 00:00:00,USER 23,,
4502585478-30,Purchase Requisition Creation,20170914 00:00:00,USER 150,,
4502471925-60,Purchase Requisition Creation,20170125 00:00:00,USER 469,,
4502550516-60,Purchase Requisition Creation,20170622 00:00:00,USER 443,,
4502550721-10,Purchase Requisition Creation,20170619 00:00:00,USER 277,,
4502564502-110,Purchase Requisition Creation,20170722 00:00:00,USER 328,,
4502547873-20,Purchase Requisition Creation,20170616 00:00:00,USER 317,,
4502459481-120,Purchase Requisition Creation,20161228 00:00:00,USER 469,,
4502524265-10,Purchase Requisition Creation,20170504 00:00:00,USER 443,,
4502460433-10,Purchase Requisition Creation,20170103 00:00:00,USER 3,,
4502620247-130,Purchase Requisition Creation,20171123 00:00:00,USER 328,,
4502516166-60,Purchase Requisition Creation,20170411 00:00:00,USER 333,,
4502631500-10,Purchase Requisition Creation,20171215 00:00:00,USER 150,,
4502616412-20,Purchase Requisition Creation,20171116 00:00:00,USER 328,,
